SMILES,with_star,no_star,num_star,ring_count,logP,TPSA,HBD,HBA
C1=CC([1*])C=C1,C1=CC([1*])C=C1,C1=CCC=C1,1,1,1.5025,0.0,0,0
C1=CC([1*])C=C1[2*],C1=CC([1*])C=C1[2*],C1=CCC=C1,2,1,1.5025,0.0,0,0
C1=CC([1*])C([2*])=C1,C1=CC([1*])C([2*])=C1,C1=CCC=C1,2,1,1.5025,0.0,0,0
C1=CC([1*])C([2*])=C1[3*],C1=CC([1*])C([2*])=C1[3*],C1=CCC=C1,3,1,1.5025,0.0,0,0
C1=CC([1*])C=C1,C1=CC([1*])C=C1,C1=CCC=C1,1,1,1.5025,0.0,0,0
C1=CC([1*])C=C1[2*],C1=CC([1*])C=C1[2*],C1=CCC=C1,2,1,1.5025,0.0,0,0
C1=CC([1*])C([2*])=C1,C1=CC([1*])C([2*])=C1,C1=CCC=C1,2,1,1.5025,0.0,0,0
C1=CC([1*])C([2*])=C1[3*],C1=CC([1*])C([2*])=C1[3*],C1=CCC=C1,3,1,1.5025,0.0,0,0
C1=CC([1*])([2*])C=C1,C1=CC([1*])([2*])C=C1,C1=CCC=C1,2,1,1.5025,0.0,0,0
C1=CC([1*])([2*])C=C1[3*],C1=CC([1*])([2*])C=C1[3*],C1=CCC=C1,3,1,1.5025,0.0,0,0
C1=CC([1*])([2*])C([3*])=C1,C1=CC([1*])([2*])C([3*])=C1,C1=CCC=C1,3,1,1.5025,0.0,0,0
C1=CC([1*])([2*])C([3*])=C1[4*],C1=CC([1*])([2*])C([3*])=C1[4*],C1=CCC=C1,4,1,1.5025,0.0,0,0
C1=C([1*])CC=C1,C1=C([1*])CC=C1,C1=CCC=C1,1,1,1.5025,0.0,0,0
C1=C([1*])CC=C1[2*],C1=C([1*])CC=C1[2*],C1=CCC=C1,2,1,1.5025,0.0,0,0
C1=C([1*])CC([2*])=C1,C1=C([1*])CC([2*])=C1,C1=CCC=C1,2,1,1.5025,0.0,0,0
C1=C([1*])CC([2*])=C1[3*],C1=C([1*])CC([2*])=C1[3*],C1=CCC=C1,3,1,1.5025,0.0,0,0
C1=C([1*])C([2*])C=C1,C1=C([1*])C([2*])C=C1,C1=CCC=C1,2,1,1.5025,0.0,0,0
C1=C([1*])C([2*])C=C1[3*],C1=C([1*])C([2*])C=C1[3*],C1=CCC=C1,3,1,1.5025,0.0,0,0
